date,actual_sales,predicted_sales,error,abs_error,ape
2019-04-01,4587.915645294,4736.855,-148.93933517475034,148.93933517475034,3.246339878273985
2019-04-01,5088.284687782,5050.7646,37.52003934450022,37.52003934450022,0.7373808984114709
2019-04-01,13049.274921417751,13050.296,-1.0209770197488979,1.0209770197488979,0.007824013409918815
2019-04-01,4968.406264097,5394.3506,-425.9443218405004,425.9443218405004,8.573057419206743
2019-04-01,6767.795461199,6723.302,44.493703386499874,44.493703386499874,0.6574327436694911
2019-04-01,221.356175482,194.82707,26.52910333844531,26.52910333844531,11.984803803498393
2019-04-01,235.927887323,269.0237,-33.09582483520313,33.09582483520313,14.027940999570298
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,6391.411984667,6428.913,-37.50110127049993,37.50110127049993,0.586742043236535
2019-04-01,502.938747645,549.09656,-46.15780997218752,46.15780997218752,9.177620572747774
2019-04-01,6400.026285097,5739.456,660.5702304095003,660.5702304095003,10.321367459813308
2019-04-01,1216.20023813,1190.2135,25.98673715343739,25.98673715343739,2.1367153482385404
2019-04-01,3957.595835845,4664.351,-706.7552383737502,706.7552383737502,17.858196432603847
2019-04-01,500.135991907,456.1274,44.00858101832813,44.00858101832813,8.799322930254437
2019-04-01,3129.087155562,3278.324,-149.23681904737487,149.23681904737487,4.769340437900688
2019-04-01,921.96562183,800.11847,121.84715259171878,121.84715259171878,13.216019090805753
2019-04-01,13049.274921417751,13046.073,3.201679230251102,3.201679230251102,0.02453530368186352
2019-04-01,1477.591413777,1490.1664,-12.57496805893743,12.57496805893743,0.8510450143178255
2019-04-01,758.315538037,741.33276,16.98277436512501,16.98277436512501,2.2395392832233356
2019-04-01,4921.168277413,4977.245,-56.076839774499604,56.076839774499604,1.1395025858367624
2019-04-01,3843.647345474,4067.722,-224.07457835412515,224.07457835412515,5.829738220338531
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,441.314438225,431.80026,9.514175773828129,9.514175773828129,2.155872310023407
2019-04-01,6990.865020521,7277.1963,-286.3312685415003,286.3312685415003,4.095791689597824
2019-04-01,1442.750236273,1361.6753,81.07494330424993,81.07494330424993,5.619471843836785
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,551.815171754,605.09656,-53.28138586318755,53.28138586318755,9.655658015677119
2019-04-01,1993.963421699,1935.2152,58.74821173806254,58.74821173806254,2.946303382436416
2019-04-01,4030.105296193,4926.772,-896.66667646325,896.66667646325,22.24921213126311
2019-04-01,2555.077477645,2865.0874,-310.0099246987502,310.0099246987502,12.133092926187294
2019-04-01,7007.136822365,7507.835,-500.6981385725003,500.6981385725003,7.145545338495447
2019-04-01,8223.337060495,8585.995,-362.6580566925004,362.6580566925004,4.410108135232759
2019-04-01,1265.634256121,1238.112,27.522195574124908,27.522195574124908,2.174577326824004
2019-04-01,1015.25778948,1123.009,-107.75124372312496,107.75124372312496,10.613190545261766
2019-04-01,3031.399675108,3112.9004,-81.50071551700012,81.50071551700012,2.688550644978758
2019-04-01,2490.054070015,2269.0925,220.96154071812498,220.96154071812498,8.873764765951202
2019-04-01,359.517788105,357.01733,2.5004541206250224,2.5004541206250224,0.6955021985990704
2019-04-01,3893.972658467,3917.9517,-23.9790016892498,23.9790016892498,0.6157978956814242
2019-04-01,3570.67745534,3525.7817,44.89571705875005,44.89571705875005,1.25734451291891
2019-04-01,230.660185907,216.60959,14.050597283953124,14.050597283953124,6.091470545167336
2019-04-01,5271.741353651,5146.4253,125.31606068225028,125.31606068225028,2.3771283960177847
2019-04-01,8304.517106966,8653.819,-349.3022289715009,349.3022289715009,4.206171466351717
2019-04-01,1132.21641217,1299.1141,-166.8977235721875,166.8977235721875,14.740797057720812
2019-04-01,1702.352643628,1771.5594,-69.2068046141876,69.2068046141876,4.065362419075302
2019-04-01,163.568171296,165.37273,-1.8045551444296848,1.8045551444296848,1.103243455087655
2019-04-01,5874.920410195,6159.997,-285.07666011750007,285.07666011750007,4.852434419754767
2019-04-01,7647.906822914,7411.8325,236.07430338275026,236.07430338275026,3.0867832055098363
2019-04-01,480.491489719,497.19452,-16.703029323968735,16.703029323968735,3.476238327079834
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,211.957157656,267.72202,-55.76485772485938,55.76485772485938,26.30949496660266
2019-04-01,5401.633917573,5420.8076,-19.173699614500038,19.173699614500038,0.3549611081958502
2019-04-01,721.492167389,646.1918,75.30039492806247,75.30039492806247,10.436758475225897
2019-04-01,10570.878108308,10746.361,-175.48321981700064,175.48321981700064,1.6600628445340093
2019-04-01,521.041224756,566.95825,-45.91702719712498,45.91702719712498,8.812551678348985
2019-04-01,566.905913597,609.35236,-42.446442360031256,42.446442360031256,7.4873874732951595
2019-04-01,11712.187602841,11079.151,633.0362356535006,633.0362356535006,5.404935927596877
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,1864.579866196,1909.5244,-44.94454786649999,44.94454786649999,2.4104383341965963
2019-04-01,243.963811274,269.48654,-25.52273047404688,25.52273047404688,10.461687059554032
2019-04-01,459.540555948,303.11523,156.42532157300002,156.42532157300002,34.0395030532845
2019-04-01,1825.959858677,1823.4086,2.5512893410625566,2.5512893410625566,0.13972318881703644
2019-04-01,13049.274921417751,13046.264,3.011249542751102,3.011249542751102,0.023075991278325693
2019-04-01,1143.321797312,1033.6603,109.66151899168744,109.66151899168744,9.591483277018467
2019-04-01,5884.989685112,5500.0825,384.9071655807502,384.9071655807502,6.540490063296089
2019-04-01,894.493896895,874.0837,20.410217695781284,20.410217695781284,2.2817615376281473
2019-04-01,2191.620014838,2022.7262,168.89381854893736,168.89381854893736,7.7063458722529345
2019-04-01,3276.741431877,3408.2463,-131.5049060136248,131.5049060136248,4.013282974796565
2019-04-01,1455.541599296,1849.58,-394.03835675868754,394.03835675868754,27.07159705701792
2019-04-01,4651.515408063,4131.7993,519.71609165675,519.71609165675,11.173048911240132
2019-04-01,168.582647688,181.49146,-12.908807390124991,12.908807390124991,7.657257474099964
2019-04-01,2376.165469263,2359.6733,16.492129419249977,16.492129419249977,0.694064855018924
2019-04-01,2789.00168796,2561.4639,227.5378207724998,227.5378207724998,8.158396667695497
2019-04-01,4245.413316802,4121.192,124.22142227074983,124.22142227074983,2.926014807065329
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,3048.717341098,3178.4214,-129.7040456207501,129.7040456207501,4.254380813605928
2019-04-01,1415.535121652,1497.7354,-82.20022991049996,82.20022991049996,5.807007445676671
2019-04-01,2673.194790204,2666.796,6.398891766500128,6.398891766500128,0.2393724464056661
2019-04-01,539.277780232,503.92035,35.357431110906305,35.357431110906305,6.556441301122281
2019-04-01,13049.274921417751,12993.443,55.8315620427511,55.8315620427511,0.42785183375296093
2019-04-01,607.569610239,665.8637,-58.294098257093765,58.294098257093765,9.594636939487902
2019-04-01,1582.163703077,1629.2489,-47.08519829018746,47.08519829018746,2.9760004099838677
2019-04-01,7457.343795443,7431.8228,25.52104153675009,25.52104153675009,0.3422269676281436
2019-04-01,3793.100048675,3610.7258,182.37421859687493,182.37421859687493,4.808051890447277
2019-04-01,4344.915220428,4413.2383,-68.32306082200012,68.32306082200012,1.5724831752935768
2019-04-01,440.382987227,488.42386,-48.040871415578124,48.040871415578124,10.908884495761631
2019-04-01,2397.891906347,2338.8223,59.069640721999804,59.069640721999804,2.463398811499713
2019-04-01,353.076713312,326.23267,26.84404729637498,26.84404729637498,7.602893729401507
2019-04-01,599.86491416,644.6253,-44.76039101578124,44.76039101578124,7.461745129478009
2019-04-01,934.857207186,1144.8773,-210.02011214993752,210.02011214993752,22.46547499827444
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,1647.399325223,1729.2882,-81.8888827848125,81.8888827848125,4.97079739751184
2019-04-01,8217.371843344,9053.453,-836.0812816559992,836.0812816559992,10.174558211494563
2019-04-01,2542.060714193,3070.8254,-528.764725260125,528.764725260125,20.800633214930357
2019-04-01,230.909848902,210.41396,20.49589321352343,20.49589321352343,8.876145089082819
2019-04-01,3911.651775458,3799.792,111.85978327049997,111.85978327049997,2.859655963557818
2019-04-01,508.024461304,751.0679,-243.04340978975,243.04340978975,47.84088726080331
2019-04-01,1441.365355943,1494.1996,-52.83422901793756,52.83422901793756,3.6655681226201846
2019-04-01,2960.875956768,3185.181,-224.30495143512508,224.30495143512508,7.57562811513284
2019-04-01,2527.465792554,2534.1426,-6.676785570999982,6.676785570999982,0.2641691765194219
2019-04-01,385.994951348,382.9448,3.0501576468280973,3.0501576468280973,0.7902066169974794
2019-04-01,3955.148086828,4211.318,-256.16978426574997,256.16978426574997,6.4768696049304255
2019-04-01,838.946530346,915.4417,-76.49518107978122,76.49518107978122,9.118004343880285
2019-04-01,4784.375077725,5036.1294,-251.75431680625024,251.75431680625024,5.262010455207893
2019-04-01,10559.301751066,10802.627,-243.32520205900073,243.32520205900073,2.3043682981636184
2019-04-01,536.929208553,610.1417,-73.21251507981253,73.21251507981253,13.63541299552635
2019-04-01,429.342542206,467.03845,-37.69590994243748,37.69590994243748,8.779914924981009
2019-04-01,352.863811954,346.745,6.1188168368125275,6.1188168368125275,1.734044872136162
2019-04-01,977.839709808,986.7198,-8.880077789656298,8.880077789656298,0.9081322532299198
2019-04-01,1091.383222274,1027.7338,63.64945762556249,63.64945762556249,5.8319989098735485
2019-04-01,2867.323806652,2833.9438,33.3799589957498,33.3799589957498,1.1641503104152564
2019-04-01,267.701959635,226.98503,40.71692850707029,40.71692850707029,15.209798449957578
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,7141.569478079,6541.538,600.0313921415,600.0313921415,8.401954136038196
2019-04-01,234.125025808,240.6452,-6.520176828718746,6.520176828718746,2.784912380133928
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,744.957648094,757.8783,-12.920647804437522,12.920647804437522,1.734413739827418
2019-04-01,13049.274921417751,13043.974,5.301288605251102,5.301288605251102,0.04062515838753697
2019-04-01,2034.036252889,2368.5063,-334.47009476725,334.47009476725,16.443664378753944
2019-04-01,741.543192982,719.6826,21.86057579450005,21.86057579450005,2.9479841499982165
2019-04-01,6643.305223149,6326.5166,316.7886215865001,316.7886215865001,4.768539318088696
